CODE_UIC;LIBELLE;FRET;VOYAGEURS;CODE_LIGNE;RG_TRONCON;PK;COMMUNE;DEPARTEMEN;IDRESEAU;IDGAIA;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
87009696;La Douzillère;N;O;594000;1;244+100;JOUE-LES-TOURS;INDRE-ET-LOIRE;4650;d9dc0092-6667-11e3-89ff-01f464e0362d;522803.98640000075;6695781.5896000005;0.653001386682489;47.33866140621093;47.33866140621093, 0.6530013866824887;47.338661406198106, 0.6530013866824868;"{""coordinates"": [0.653001386682487, 47.338661406198106], ""type"": ""Point""}"
87142554;Châtillon-sur-Seine;O;N;839000;1;035+431;SAINTE-COLOMBE-SUR-SEINE;COTE-D'OR;9201;29d3de32-dfbc-11e3-a2ff-01a464e0362d;815990.5833000019;6753362.917800002;4.551565119152175;47.87040423667916;47.87040423667916, 4.551565119152175;47.87040423666789, 4.551565119152176;"{""coordinates"": [4.551565119152176, 47.87040423666789], ""type"": ""Point""}"
87382218;La Défense;N;O;973000;1;008+295;PUTEAUX;HAUTS-DE-SEINE;4648;c0d4c69a-f312-11e3-90ff-015864e0362d;644164.1872999966;6866205.721500002;2.238471684534599;48.89343723770491;48.89343723770491, 2.2384716845345993;48.89343723768303, 2.2384716845345984;"{""coordinates"": [2.238471684534598, 48.89343723768303], ""type"": ""Point""}"
87718122;Byans;N;O;871000;1;015+118;BYANS-SUR-DOUBS;DOUBS;3446;297c8c1e-dfbc-11e3-a2ff-01a464e0362d;916198.4419;6672578.780099999;5.852088069196292;47.11832925172662;47.11832925172662, 5.852088069196292;47.11832925171314, 5.852088069196295;"{""coordinates"": [5.852088069196295, 47.11832925171314], ""type"": ""Point""}"
87721829;Chamelet;N;O;775000;1;074+576;CHAMELET;RHONE;3578;d9cff2d6-6667-11e3-89ff-01f464e0362d;816664.1966999993;6543551.646000002;4.507016244543598;45.98167025804158;45.98167025804158, 4.507016244543598;45.98167025802479, 4.5070162445436;"{""coordinates"": [4.5070162445436, 45.98167025802479], ""type"": ""Point""}"
87471060;L'Hermitage-Mordelles;O;O;420000;1;385+104;L'HERMITAGE;ILLE-ET-VILAINE;8893;e1934ea8-19bf-11e5-a6ff-01fc64e0362d;341644.2468999997;6791268.489999998;-1.81921151526776;48.123335774611554;48.123335774611554, -1.8192115152677604;48.123335774601024, -1.8192115152677635;"{""coordinates"": [-1.819211515267763, 48.123335774601024], ""type"": ""Point""}"
87174003;Châlons-en-Champagne;O;O;070000;1;172+214;CHALONS-EN-CHAMPAGNE;MARNE;3563;e14dc8ac-19bf-11e5-a6ff-01fc64e0362d;798787.0291000009;6873657.124400001;4.348974315249643;48.95527794985203;48.95527794985203, 4.348974315249643;48.95527794983048, 4.348974315249644;"{""coordinates"": [4.348974315249644, 48.95527794983048], ""type"": ""Point""}"
87213686;Hoerdt;N;O;146000;1;007+193;HRDT;BAS-RHIN;4455;d985c1a6-6667-11e3-89ff-01f464e0362d;1051527.873800002;6855415.366999999;7.7797685201344;48.70309760982452;48.70309760982452, 7.7797685201344;48.70309760980168, 7.779768520134403;"{""coordinates"": [7.779768520134403, 48.70309760980168], ""type"": ""Point""}"
87696633;Flez-Cuzy-Tannay;N;O;762000;1;244+504;TANNAY;NIEVRE;8262;d9e379b8-6667-11e3-89ff-01f464e0362d;746427.3461000025;6696034.3434999995;3.615134800485459;47.363016895951745;47.363016895951745, 3.615134800485459;47.363016895939, 3.61513480048546;"{""coordinates"": [3.61513480048546, 47.363016895939], ""type"": ""Point""}"
87342360;Aire-sur-la-Lys;O;N;294000;1;060+044;AIRE-SUR-LA-LYS;PAS-DE-CALAIS;2824;e552a83c-6667-11e3-a7ff-01f464e0362d;657905.9632000029;7060642.339499999;2.405933102461811;50.64130516051258;50.64130516051258, 2.4059331024618107;50.64130516049894, 2.4059331024618102;"{""coordinates"": [2.40593310246181, 50.64130516049894], ""type"": ""Point""}"
87581868;Bassens-Appontements;O;N;570511;1;006+900;LORMONT;GIRONDE;87076;29d972da-dfbc-11e3-a2ff-01a464e0362d;421280.31639999896;6426854.324299999;-0.530996594037636;44.88477639840179;44.88477639840179, -0.5309965940376361;44.88477639838188, -0.5309965940376384;"{""coordinates"": [-0.530996594037638, 44.88477639838188], ""type"": ""Point""}"
87473181;Plouaret-Trégor;N;O;420000;1;530+923;LE VIEUX-MARCHE;COTES-D'ARMOR;6025;296e5ab0-dfbc-11e3-a2ff-01a464e0362d;224408.06059999764;6853469.3224;-3.457983953556017;48.606290948971115;48.606290948971115, -3.4579839535560173;48.60629094894776, -3.457983953556023;"{""coordinates"": [-3.457983953556023, 48.60629094894776], ""type"": ""Point""}"
87582684;Cadaujac;N;O;640000;1;008+487;CADAUJAC;GIRONDE;3448;e1c839e0-19bf-11e5-a6ff-01fc64e0362d;420073.2644999996;6412144.2326;-0.537923689084897;44.75198423836627;44.75198423836627, -0.5379236890848973;44.751984238346004, -0.5379236890848997;"{""coordinates"": [-0.5379236890849, 44.751984238346004], ""type"": ""Point""}"
87276006;Creil;O;O;272000;1;050+253;CREIL;OISE;3875;29018916-dfbc-11e3-a2ff-01a464e0362d;661368.4228999987;6907317.141899999;2.469338512801428;49.26433696531956;49.26433696531956, 2.469338512801428;49.264336965299535, 2.4693385128014276;"{""coordinates"": [2.469338512801428, 49.264336965299535], ""type"": ""Point""}"
87396275;Champagné;O;O;420000;1;199+637;CHAMPAGNE;SARTHE;3590;d9a52bc2-6667-11e3-89ff-01f464e0362d;501435.1863999963;6772195.085099999;0.336034717275254;48.01999207493511;48.01999207493511, 0.33603471727525364;48.019992074924275, 0.33603471727525125;"{""coordinates"": [0.336034717275251, 48.019992074924275], ""type"": ""Point""}"
87471029;Vern;N;O;466000;1;050+491;VERN-SUR-SEICHE;ILLE-ET-VILAINE;7152;e17c0ffc-19bf-11e5-a6ff-01fc64e0362d;357685.4151000008;6781809.9761000015;-1.596590935217561;48.04697466541346;48.04697466541346, -1.5965909352175605;48.0469746654027, -1.5965909352175645;"{""coordinates"": [-1.596590935217564, 48.0469746654027], ""type"": ""Point""}"
87545210;Ste-Geneviève-des-Bois;N;O;570000;1;025+898;SAINTE-GENEVIEVE-DES-BOIS;ESSONNE;6712;c10ca50a-f312-11e3-90ff-015864e0362d;649273.4893999994;6839327.0951000005;2.311349268650718;48.652126468780416;48.652126468780416, 2.311349268650718;48.652126468757295, 2.3113492686507175;"{""coordinates"": [2.311349268650718, 48.652126468757295], ""type"": ""Point""}"
87213058;Haguenau;O;O;160000;1;037+263;SCHWEIGHOUSE-SUR-MODER;BAS-RHIN;4398;d98a0f5a-6667-11e3-89ff-01f464e0362d;1047909.7566;6869215.603799999;7.741946133955294;48.828951234919714;48.828951234919714, 7.7419461339552935;48.82895123489752, 7.741946133955297;"{""coordinates"": [7.741946133955297, 48.82895123489752], ""type"": ""Point""}"
87393306;Issy-Val-de-Seine;N;O;977000;1;005+710;ISSY-LES-MOULINEAUX;HAUTS-DE-SEINE;4504;d9c23322-6667-11e3-89ff-01f464e0362d;645900.4253999963;6859046.7315;2.263061548452739;48.829206272653394;48.829206272653394, 2.263061548452739;48.82920627263119, 2.2630615484527388;"{""coordinates"": [2.263061548452739, 48.82920627263119], ""type"": ""Point""}"
87775114;Vergèze-Codognan;O;O;810000;1;043+423;VERGEZE;GARD;7149;d992c566-6667-11e3-89ff-01f464e0362d;798222.9742999971;6294175.457699999;4.219113329716423;43.73977946287461;43.73977946287461, 4.219113329716423;43.73977946285169, 4.219113329716424;"{""coordinates"": [4.219113329716424, 43.73977946285169], ""type"": ""Point""}"
87725457;Champlan;N;O;990000;4;102+407;CHAMPLAN;ESSONNE;10334002;de1b5c3e-cde0-11eb-b0ff-01f06fb51c27;646973.8198999986;6845703.266899999;2.279341221911651;48.709290647180765;48.709290647180765, 2.2793412219116513;48.70929064715795, 2.279341221911651;"{""coordinates"": [2.279341221911651, 48.70929064715795], ""type"": ""Point""}"
87193656;Wittring;N;O;161000;1;064+656;WITTRING;MOSELLE;7363;d9db2508-6667-11e3-89ff-01f464e0362d;1002526.1579999998;6891944.102400001;7.140819812049893;49.055958481804154;49.055958481804154, 7.140819812049893;49.0559584817831, 7.140819812049896;"{""coordinates"": [7.140819812049896, 49.0559584817831], ""type"": ""Point""}"
87212167;Hochfelden;O;O;070000;1;474+548;HOCHFELDEN;BAS-RHIN;4453;298e8e62-dfbc-11e3-a2ff-01a464e0362d;1035942.1111999974;6860287.463799998;7.572162441093835;48.755137916528135;48.755137916528135, 7.572162441093835;48.755137916505554, 7.572162441093838;"{""coordinates"": [7.572162441093838, 48.755137916505554], ""type"": ""Point""}"
